mesh_name,ordering_type,nd_levels,patch_type,patch_size,ordering_time,analysis_time,factorization_time,solve_time,total_time,residual
488FancyRoller,default,10,-1,-1,3930.032715,137.189285,128.082077,23.849983,4219.154297,8.92E-14
488FancyRoller,PARTH,10,rxmesh,24,4567.043457,111.80867,56.212288,7.821312,4742.885742,8.92E-14
488FancyRoller,PARTH,2,rxmesh,24,3110.675293,1830.531494,140.482208,4.860928,5086.550293,8.92E-14
488FancyRoller,PARTH,4,rxmesh,24,4455.202148,489.23822,116.008095,17.053408,5077.501953,8.93E-14
488FancyRoller,PARTH,6,rxmesh,24,4540.671875,212.713501,53.701439,4.525056,4811.611816,8.92E-14
488FancyRoller,PARTH,8,rxmesh,24,4561.418457,214.543106,57.39613,5.04912,4838.406738,8.92E-14
488FancyRoller,PATCH_ORDERING,10,rxmesh,512,574.882202,142.667328,111.260544,22.880993,851.691101,8.90E-14
488FancyRoller,PATCH_ORDERING,10,rxmesh,64,797.332947,138.697083,80.570557,6.422528,1023.023132,8.91E-14
488FancyRoller,PATCH_ORDERING,4,rxmesh,512,553.755737,686.178223,203.231964,8.01136,1451.177246,8.92E-14
488FancyRoller,PATCH_ORDERING,4,rxmesh,64,652.37738,709.922607,185.420898,7.115776,1554.83667,8.90E-14
488FancyRoller,PATCH_ORDERING,8,rxmesh,512,574.82959,149.794495,119.877182,7.26016,851.761414,8.89E-14
488FancyRoller,PATCH_ORDERING,8,rxmesh,64,691.358093,149.885254,85.174591,6.560768,932.97876,8.90E-14
andrew-jackson-zinc-sculpture-master-geometry,default,10,-1,-1,20180.65234,639.637756,163.340958,22.815744,21006.44922,2.20E+09
andrew-jackson-zinc-sculpture-master-geometry,PARTH,10,rxmesh,24,21346.66992,344.697174,151.309723,20.858591,21863.53711,2.70E+09
andrew-jackson-zinc-sculpture-master-geometry,PARTH,2,rxmesh,24,13897.4502,7162.374512,355.464813,14.780256,21430.06836,7.78488
andrew-jackson-zinc-sculpture-master-geometry,PARTH,4,rxmesh,24,22241.94141,2635.541504,210.075333,15.776768,25103.33594,5.04E+08
andrew-jackson-zinc-sculpture-master-geometry,PARTH,6,rxmesh,24,21736.83398,856.990845,164.520416,15.567872,22773.91211,1.07E+09
andrew-jackson-zinc-sculpture-master-geometry,PARTH,8,rxmesh,24,22250.65039,442.918243,150.82515,15.59744,22859.99023,1.77E+09
armadillo,default,10,-1,-1,44.782818,9.654464,8.479264,2.561792,65.47834,1.02E-14
armadillo,PARTH,10,rxmesh,24,174.924927,9.423488,8.713248,2.479104,195.540771,1.03E-14
armadillo,PARTH,2,rxmesh,24,69.969215,23.969889,3.26704,0.522016,97.728157,1.03E-14
armadillo,PARTH,4,rxmesh,24,56.053215,13.198656,2.492768,0.50176,72.246399,1.04E-14
armadillo,PARTH,6,rxmesh,24,62.126846,9.311008,2.084096,0.564224,74.086174,1.03E-14
armadillo,PARTH,8,rxmesh,24,90.984543,8.656928,1.6864,0.48832,101.816193,1.02E-14
armadillo,PATCH_ORDERING,10,rxmesh,512,37.320866,11.48304,2.017408,0.601088,51.422401,1.03E-14
armadillo,PATCH_ORDERING,10,rxmesh,64,88.577087,10.030816,2.082336,0.592896,101.283134,1.04E-14
armadillo,PATCH_ORDERING,4,rxmesh,512,10.3096,15.24,3.66176,0.9216,30.132959,1.03E-14
armadillo,PATCH_ORDERING,4,rxmesh,64,20.284096,12.763232,2.58096,0.699392,36.327679,1.03E-14
armadillo,PATCH_ORDERING,8,rxmesh,512,30.675776,10.29632,2.02224,0.673504,43.667839,1.02E-14
armadillo,PATCH_ORDERING,8,rxmesh,64,59.542656,10.537568,2.423232,0.620544,73.124001,1.04E-14
blue-crab-master-geometry,default,10,-1,-1,24173.64063,733.968079,265.049835,43.729279,25216.38867,2.01E-13
blue-crab-master-geometry,PARTH,10,rxmesh,24,28802.60938,438.329895,244.211365,27.462656,29512.61328,2.01E-13
blue-crab-master-geometry,PARTH,2,rxmesh,24,18768.37695,10758.17383,708.458191,17.130304,30252.14063,2.01E-13
blue-crab-master-geometry,PARTH,4,rxmesh,24,28022.97852,3514.864014,366.338196,18.885632,31923.06445,2.01E-13
blue-crab-master-geometry,PARTH,6,rxmesh,24,27115.24414,1105.44873,286.704895,19.613695,28527.01172,2.01E-13
blue-crab-master-geometry,PARTH,8,rxmesh,24,28544.95313,526.7146,245.889221,18.99824,29336.55469,2.01E-13
blue-crab-master-geometry,PATCH_ORDERING,10,metis_kway,256,2027.465088,543.040405,532.551086,27.832319,3130.888672,2.02E-13
blue-crab-master-geometry,PATCH_ORDERING,10,metis_kway,512,2241.638916,546.935242,550.016418,27.717632,3366.308105,2.01E-13
blue-crab-master-geometry,PATCH_ORDERING,10,metis_kway,64,2629.194824,532.202332,456.437988,26.377216,3644.212402,2.01E-13
blue-crab-master-geometry,PATCH_ORDERING,2,metis_kway,256,3482.22876,10572.38379,2586.791992,24.694784,16666.09961,2.01E-13
blue-crab-master-geometry,PATCH_ORDERING,2,metis_kway,512,3336.166016,10311.77734,1815.290161,31.599615,15494.83301,2.01E-13
blue-crab-master-geometry,PATCH_ORDERING,2,metis_kway,64,3675.059082,10319.14746,1870.944092,33.750721,15898.90234,2.01E-13
blue-crab-master-geometry,PATCH_ORDERING,4,metis_kway,256,2508.296875,2807.739258,865.511353,24.601601,6206.148926,2.01E-13
blue-crab-master-geometry,PATCH_ORDERING,4,metis_kway,512,2362.816895,2841.524902,936.444214,25.464832,6166.250977,2.01E-13
blue-crab-master-geometry,PATCH_ORDERING,4,metis_kway,64,2763.921631,2857.384033,908.509644,24.394785,6554.210449,2.01E-13
blue-crab-master-geometry,PATCH_ORDERING,6,metis_kway,256,2210.164551,933.253418,655.092896,26.777504,3825.28833,2.01E-13
blue-crab-master-geometry,PATCH_ORDERING,6,metis_kway,512,2036.759155,937.46814,698.196411,27.815872,3700.239746,2.01E-13
blue-crab-master-geometry,PATCH_ORDERING,6,metis_kway,64,2369.729004,917.27356,621.626709,25.995008,3934.624268,2.01E-13
blue-crab-master-geometry,PATCH_ORDERING,8,metis_kway,256,1998.605713,563.202881,561.971985,28.014591,3151.795166,2.01E-13
blue-crab-master-geometry,PATCH_ORDERING,8,metis_kway,512,1754.121704,562.823364,559.415222,27.042784,2903.403076,2.01E-13
blue-crab-master-geometry,PATCH_ORDERING,8,metis_kway,64,2323.87085,547.079468,477.522797,24.965025,3373.437988,2.01E-13
Chevy_Corvette_Carbon65,default,10,-1,-1,4719.396484,85.694336,38.407295,5.245024,4848.743164,9.23E-14
embreea_rodigasiana_var_herrenhusan-scale_mm-4M_triangle,default,10,-1,-1,8891.904297,474.639679,119.430496,20.11552,9506.089844,1.19E-13
embreea_rodigasiana_var_herrenhusan-scale_mm-4M_triangle,PARTH,10,rxmesh,24,8669.255859,190.29747,134.786682,22.239008,9016.580078,1.19E-13
embreea_rodigasiana_var_herrenhusan-scale_mm-4M_triangle,PARTH,2,rxmesh,24,5544.52832,3523.508545,212.703964,7.150592,9287.891602,1.19E-13
embreea_rodigasiana_var_herrenhusan-scale_mm-4M_triangle,PARTH,4,rxmesh,24,8060.598145,1074.359985,184.530716,8.213504,9327.702148,1.19E-13
embreea_rodigasiana_var_herrenhusan-scale_mm-4M_triangle,PARTH,6,rxmesh,24,8597.875,401.634583,121.723427,8.19712,9129.430664,1.19E-13
embreea_rodigasiana_var_herrenhusan-scale_mm-4M_triangle,PARTH,8,rxmesh,24,8451.453125,274.330017,104.395485,8.699904,8838.878906,1.19E-13
embreea_rodigasiana_var_herrenhusan-scale_mm-4M_triangle,PATCH_ORDERING,10,rxmesh,512,1076.675293,239.182144,208.285095,10.764224,1534.90686,1.19E-13
embreea_rodigasiana_var_herrenhusan-scale_mm-4M_triangle,PATCH_ORDERING,10,rxmesh,64,1358.063232,222.489182,169.256668,9.892864,1759.701904,1.19E-13
embreea_rodigasiana_var_herrenhusan-scale_mm-4M_triangle,PATCH_ORDERING,4,rxmesh,512,806.529419,1057.007935,364.539642,11.961248,2240.038086,1.19E-13
embreea_rodigasiana_var_herrenhusan-scale_mm-4M_triangle,PATCH_ORDERING,4,rxmesh,64,1111.9021,1026.593872,314.023468,10.061824,2462.581299,1.19E-13
embreea_rodigasiana_var_herrenhusan-scale_mm-4M_triangle,PATCH_ORDERING,8,rxmesh,512,679.286987,401.662079,217.483551,10.940416,1309.373047,1.19E-13
embreea_rodigasiana_var_herrenhusan-scale_mm-4M_triangle,PATCH_ORDERING,8,rxmesh,64,1166.467773,281.165649,181.51651,10.900096,1640.050049,1.19E-13
fish,default,10,-1,-1,50.154846,9.168832,8.303104,2.42288,70.049667,8.72E-15
fish,PARTH,10,rxmesh,24,130.60762,10.101056,7.992384,2.609024,151.310089,8.74E-15
fish,PARTH,2,rxmesh,24,46.864544,18.342688,3.441664,0.541696,69.19059,8.77E-15
fish,PARTH,4,rxmesh,24,65.227394,11.369376,2.046496,0.494592,79.137856,8.70E-15
fish,PARTH,6,rxmesh,24,62.877281,8.881568,1.582688,0.488448,73.829987,8.69E-15
fish,PARTH,8,rxmesh,24,86.484734,7.468992,1.472352,0.449536,95.875618,8.90E-15
fish,PATCH_ORDERING,10,rxmesh,512,57.260574,10.37312,2.008416,0.617472,70.259583,8.82E-15
fish,PATCH_ORDERING,10,rxmesh,64,71.052834,9.158752,1.772896,0.600064,82.584549,8.86E-15
fish,PATCH_ORDERING,4,rxmesh,512,23.239937,11.00736,3.219328,0.769024,38.235653,8.65E-15
fish,PATCH_ORDERING,4,rxmesh,64,18.118528,11.907872,2.454688,0.707584,33.188675,8.72E-15
fish,PATCH_ORDERING,8,rxmesh,512,26.234655,11.29936,2.223104,0.624352,40.38147,8.76E-15
fish,PATCH_ORDERING,8,rxmesh,64,54.266304,10.323488,2.175456,0.631616,67.396858,8.93E-15
morse-telegraph-key-master-geometry,default,10,-1,-1,12409.66895,481.511871,173.848282,17.553408,13082.58301,2.24E+09
morse-telegraph-key-master-geometry,PARTH,10,rxmesh,24,11720.49121,251.364899,157.138855,25.863169,12154.8584,2.73E+09
morse-telegraph-key-master-geometry,PARTH,2,rxmesh,24,7738.671875,5042.40625,440.891205,10.84416,13232.81348,45.1736
morse-telegraph-key-master-geometry,PARTH,4,rxmesh,24,11681.74609,1413.219482,261.522919,12.082176,13368.57031,3.33E+08
morse-telegraph-key-master-geometry,PARTH,6,rxmesh,24,11843.38477,499.091461,166.730118,11.74016,12520.94727,1.09E+09
morse-telegraph-key-master-geometry,PARTH,8,rxmesh,24,12051.19629,286.510559,138.962875,11.854848,12488.52441,1.85E+09
morse-telegraph-key-master-geometry,PATCH_ORDERING,4,rxmesh,64,1209.805664,1457.130127,481.126953,16.333824,3164.396484,6.45E+07
nefertiti,default,10,-1,-1,4335.913086,116.179329,62.368896,6.211584,4520.672363,8.36E-14
nefertiti,PARTH,10,rxmesh,24,4009.403564,115.095329,55.742241,6.177792,4186.418945,8.36E-14
nefertiti,PARTH,2,rxmesh,24,2790.459961,1822.220825,138.013733,4.645632,4755.339844,8.36E-14
nefertiti,PARTH,4,rxmesh,24,3824.271484,553.829895,79.971039,4.60288,4462.675781,8.38E-14
